	sentiment	rateContent
0	1	这个价钱买到的茶叶，可以说是物有所值吧。茶叶有嫩芽，也有碎叶。有新绿的，也有稍发黄的。口感还不错
1	0	口感香醇，包装精美。非常好的一次购物体验。
2	0	别人推荐来买的，确实不错。性价比很高。茶叶其实是个无法标准量化的产品，只要自己觉得好就可以了。
3	0	很满意！
4	0	非常赞的茶叶绝对5分
5	0	好茶，囤货慢慢喝。5分！ 服物很好的5分！
6	0	看相不行 味道还行 聚划算买的办公室喝喝对得起这价位
7	0	不错的茶叶，希望再卖有优惠。5分
8	1	没听老公说，不多加评论
9	0	口感很好1 茶叶也不错 好香好香！会一直光顾
10	0	老客户了，很喜欢的茶叶，包装也纯朴。
11	0	味道不错哦
12	0	不错,大牌就是大牌.
13	0	一直喝这个牌子的龙井，味道很好
14	0	好
15	0	寻寻觅觅终于找到一个卖好茶的店铺！绝对的好评！喝好茶就选这家了！
16	0	不错不错，物流挺快的，还没开始喝，先给个5分吧
17	1	还没喝，喝过后，会追加
18	0	买的16年春茶，目的囤货。价格会员价295元，毕竟春茶头采，二采居多，香气更好。 满足送赠品条件
19	0	不错，还没喝，发货快。
20	0	吃口还是不错的。味道也很浓郁，经泡
21	0	不错，会继续关注店铺，茶清香，回味有点甜
22	0	刚收到就泡了一壶 闻香味醇啊 泡开的茶叶也很整 聚划算拍的 店家还送了杯子 包装手提袋 显得很有档，自己喝送人都可以。物超所值啊！同时祝店家生意兴隆！！ 歪瑞顾大
23	1	茶叶收到泡了一杯，香味茶味还不错，就是茶不成形，单片的碎叶和茶梗比较多
24	0	买过很多次了，还不错！
25	0	6，18大促的时候买的，而且还送了好几包品尝包，一直是喝这个茶非常好喝。
26	0	第3次来了 还是一如既往的好 满意
27	0	一直在这购买，口粮茶，可以
28	1	不错，抢到前100名，还送了杯子，喜欢水晶杯。
29	0	还没喝，看着挺好？
30	0	好
31	0	价钱在这，还是值了
32	0	物流超赞，正品，爸妈很喜欢，下次再来
33	1	感觉一般，泡出来的茶叶没图片那么多芽，大叶碎的多点，有些茶梗，味道淡淡的茶香，是新茶，口味还不错。
34	1	特意喝了几天再来评价的，茶叶相当不错，口感清香，意犹未尽，卢正浩的品牌真不是盖的；这个价格的质量都已经如此了，可见性价比之高啊！唯一不满的是快递，同城的竟然给我发到上海去了，耽搁了好几天。 客服人员态度不错
35	0	还不错吧！！味道可以！能泡3壶吧！！
36	0	卖家态度很好，物流也很快，茶的味道很正，给爸爸买的，他说还不错，还会再来的。
37	0	很好的茶叶，老字号，品质很好，口感不错，很是喜欢，赞一个！
38	1	发货等了好几天，碎了点
39	1	茶叶可以   适合常年口粮  回甘较差
40	0	买过几次，算老客户了，59,69,208几个价位都买了几盒比较下，看最后家里到底喝怎样的.价位69的比59的香味更好闻些！一分钱一分货嘛。 好
41	0	好
42	1	还可以吧
43	1	收藏好久好久了。老卢家的茶叶还真是不错，客服小妹热情周到，茶叶品质、包装、赠品都不错。  小建议：包装有一点点过，现在崇尚绿色、极简生活，虽然你的材质都是绿色的。但手袋可以少点，虽然是你的服务心意，但拿回来真的都扔了的多。
44	0	特价买的 给老人喝
45	0	给老爸买的
46	0	包装很用心，盒子也非常精致！不开口就知道是好茶！
47	0	特地品过才来评价，很好，味道很浓，特别好评！
48	0	还好。不错
49	0	口感很不错哦。质量很好呢，我很喜欢哦
50	0	快狠准 老用户了支持 好
51	1	买亏了，刚买过就降价了
52	0	还行
53	1	也是服了气了，今天刚从外地回来，回家就看到老妈代收的东西，我买的那一款涨价了，你们就发这一款价格相当的？真是枉我一直在你家买茶叶，也就是看在快过年了，心疼你们的客服，懒得退了，这种服务质量真心是不想干了？看看照片，你们给我发的哪一款，我付账的又是哪一款！真是过年添堵！
54	1	味道还行，就是有点碎
55	0	宝贝收到了，卖家的发货快，包装精美，打开后闻了一下，香啊！一看就是今年的新茶，茶形紧细秀气，扁平挺直，色泽好，不碎，泡了一杯，口感特别香！，水很清，下次还要买
56	0	还不错，一泡就有股香味
57	1	茶收到，还没有喝。 就是货走的有点慢。
58	0	东西挺好  下次在来买
59	1	今年明前茶大面积冻伤焦掉了很多，所以今年明前茶产量少假的茶特别多，朋友这里买了点要喝完了，再去买雨前的半卖半送的又要欠人情，还是决定买卢正浩的茶试试，茶很不错能优惠一点就更好了，同城物流不能隔天到有些失望。我岳父和卢正浩年青时相识，经常酒后都会谈起卢正浩，说是只要卢正浩一出现贩卖伪劣茶叶的摊贩都会立刻消失（很有画面感），卢正浩拿起茶叶就能知道茶叶的产地，是山阳面还是阴面的神乎其神，说到坐火车回杭时生病还会叹息一声，再说一遍茶不错放心买。
60	1	去年的茶保存得不错。
61	0	不苦。。。还可以！！！没舍得买明前的，据说雨前的这个也可以就买了，我不太懂茶 。 赠的杯子要是再大点就更好了！！
62	0	因为口味不同换了一次货，卖家的服务挺好的，挺满意的，物流飞快
63	0	趁着买一送一一下买了4件，不错，挺好的
64	1	还没开喝，希望不错~
65	1	试喝了一下有点淡淡的，喜欢好评
66	0	二次购买，发货物流挺快的，叶针齐整，手感爽滑。谢店家赠品。
67	0	喝多年了 好
68	0	很香醇。很好喝的一款茶叶
69	0	商品的包装还是挺不错的，不过茶现在还没喝。
70	0	好东西 可以
71	1	包装不错。茶 不咋滴   叶子大 茶梗多。性价比 不是很高
72	0	不错
73	0	还没喝，看着不错！
74	1	茶壶好小，做工上有些瑕疵，送人的话感觉太小气
75	0	茶叶包装不错，还送了手提袋，送礼很有档次，值得购买。味道就不知道了反正是送人，希望喝起来也不错哦！
76	0	发货及时，速度快，质量不错!
77	0	蛮好的！
78	0	茶叶喝着还不错，发货也很快。。
79	1	讲真话，这品质我也只能呵呵了，
80	0	茶叶很不错，虽然是第一次网上买茶叶，但是还是挺满意的，茶香清澈，口味甘醇，唇齿留香 客服服务很好，值得一赞，物流也很快，我以为要明天才到的，谁知道今天早上就到了
81	0	老客户,多次购买
82	0	不错，经常买，碰到双十一来个大采购
83	0	不错，一直喝卢正浩的茶叶，促销还送了小包的茶叶，好评。 服务也不错
84	0	老顾客了
85	0	买了很多次了～～依旧很好
86	0	茶叶很是一般，不过毕竟是3级的
87	0	服务态度好，发货速度快，赞一个
88	0	一直不错
89	0	很不错，包装很正规！
90	0	不好意思确认晚了，谢谢送的小礼物，好
91	0	宝贝很好，很喜欢，一下子买了好多，送人的，看着很不错~
92	0	物流挺快的，东西还不错，客服态度可以 很好
93	0	茶叶口味纯正，清香，是龙井茶，好评。
94	0	一般吧
95	0	可以
96	0	新鲜，好喝！
97	0	老客，绝对放心，满意。
98	1	闻着挺香，喝着没味。
