no,displayUserNick,rateContent,rateDate,package,quality,price,service,logistics,other,sentiment
0,t***1,茶叶收到，还没来得及开包品尝就让朋友拿去了，他们说该茶叶质量上佳，味道一定不错。看着他们高兴的样子，我只得为自己再购买一包，希望质量有保证哦。,6/3/2016 19:50,0,1,0,0,0,0,0
1,玫***e,喝了两次，还行，卖家态度不错！,6/3/2016 19:28,0,1,0,1,0,0,0
2,q***i,收到货，打开后还行?赞一个！！,6/3/2016 19:24,0,0,0,0,0,1,0
3,i***1,闻着很香，喝起来也不错,6/3/2016 18:20,0,1,0,0,0,0,0
4,石***2,茶叶还凑合，将就喝喝,6/3/2016 17:30,0,1,0,0,0,0,0
5,以***3,第一次购买，爸爸说挺好的,6/3/2016 17:03,0,0,0,0,0,1,0
6,大***来,,6/3/2016 16:48,0,0,0,0,0,0,0
7,w***7,茶叶收到拉，看外包装还是比较满意的，习惯性好评吧？至于其他的质量吗？以后喝了才敢吹,6/3/2016 16:36,1,0,0,0,0,0,0
8,g***y,第二次购买 不错,6/3/2016 16:35,0,0,0,0,0,1,0
9,太***牛,备注送双层玻璃杯的，还是给了梅兰竹菊杯，无语了，杯子质量还一般，看在茶叶的份上，就勉强给个好评吧,6/3/2016 16:32,0,0,0,1,0,0,0
10,游***潮,味道还不错。,6/3/2016 16:27,0,1,0,0,0,0,0
11,k***n,多次购了，质量不错。 好,6/3/2016 16:14,0,1,0,0,0,0,0
12,灬***灬,老公说茶不碎，很香。收到就泡了一杯。,6/3/2016 15:58,0,1,0,0,0,0,0
13,北***翔,老顾客了！一如既往的好！一直信赖店家的茶叶！还会再来！,6/3/2016 15:21,0,0,0,0,0,1,0
14,丁***余,老爸说还可以。,6/3/2016 15:17,0,0,0,0,0,1,0
15,郭***义,这个价位的茶很不错了，老客户了，以后还会再买的,6/3/2016 15:07,0,0,1,0,0,1,0
16,y***阳,慢！慢！味道挺清香 有点涩。习惯好评,6/3/2016 14:36,0,1,0,0,1,1,1
17,我***黄,收到包裹打开看是想退货的以为是白茶，后面问了客服是绿茶，泡了一杯试试，果然没让我失望，挺好的，茶叶很嫩，吃都可以，口感很好，公司喝完了，会再来光顾！,6/3/2016 13:25,0,1,0,0,0,0,0
18,r***x,还可以蛮香的,6/3/2016 12:33,0,1,0,0,0,0,0
19,水***2,送了一个很精致的杯子，欣喜。茶叶也尝了尝，也是很不错的。建议购买。 很好,6/3/2016 12:30,0,1,0,1,0,0,0
20,天***斌,叶片比较碎，口感不是太好。泡水也就最多两泡,6/4/2016 10:56,0,1,0,0,0,0,1
21,w***0,买一包送一个杯，买两包也是送一个杯，不合理，而且是给两个人买的，这一个杯该给谁呢？,6/4/2016 10:45,0,0,0,1,0,0,1
22,润***1,尝过了很香，茶叶不错！,6/4/2016 10:39,0,1,0,0,0,0,0
23,w***1,蛮喜欢这个杯子的,6/4/2016 10:14,0,0,0,1,0,0,0
24,h***9,老顾客了，平时自己喝喝不错的。,6/4/2016 10:04,0,0,0,0,0,1,0
25,h***e,不错，会继续关顾的,6/4/2016 9:08,0,0,0,0,0,1,0
26,话***1,虽然茶叶碎的多，但是这个价位买到这个茶叶也算不错的了。喝着还可以总体来说不错。 满意,6/4/2016 7:36,0,1,0,0,0,1,1
27,泰***本,味道还行， 总体还算满意 挺好,6/4/2016 0:19,0,1,0,0,0,1,0
28,p***4,茶叶很好，物有所值。,6/3/2016 23:59,0,1,0,0,0,1,0
29,静***语,还不错，尤其送的杯子很喜欢。还会再来。,6/3/2016 23:58,0,0,0,1,0,0,0
