rateContent,package,quality,price,service,logistics,other,sentiment
色香味俱全，满5分,0.0,1.0,0.0,0.0,0.0,0.0,0.0
味道不错!,0.0,1.0,0.0,0.0,0.0,0.0,0.0
还没喝价格合适 物流快,0.0,0.0,1.0,0.0,1.0,0.0,0.0
还好。不错,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶挺好的，给个好评!,0.0,1.0,0.0,0.0,0.0,0.0,0.0
东西很好！一直喝他们家的茶。 服务态度很好！！！,0.0,1.0,0.0,1.0,0.0,0.0,0.0
不是很懂龙井，但是觉得味道不错！,0.0,1.0,0.0,0.0,0.0,0.0,0.0
朋友推荐的，正宗西湖龙井的淡淡豆香！赞一个！以后就认准卢正浩牌西湖龙井了！,0.0,1.0,0.0,0.0,0.0,1.0,0.0
准备过年送礼的，没有打开，看着包装还可以，买了多次了货品不错。,1.0,0.0,0.0,0.0,0.0,0.0,0.0
很好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
帮姐姐带的，应该好吧！,0.0,0.0,0.0,0.0,0.0,0.0,1.0
味道不错，很好的卖家，卢正浩，我还会再来光顾的！！！,0.0,1.0,0.0,0.0,0.0,1.0,0.0
好喝  刚买就降价 点背咯  还没有奖品 ：小遗憾,0.0,0.0,1.0,1.0,0.0,0.0,1.0
到货好快,0.0,0.0,0.0,0.0,1.0,0.0,0.0
还没喝，但作为一个老顾客，相信这茶肯定不错的！  继续支持！ 好！,0.0,0.0,0.0,0.0,0.0,1.0,0.0
差也不错，赞一个！ 服务没问题,0.0,1.0,0.0,1.0,0.0,0.0,0.0
好会再来！,0.0,0.0,0.0,0.0,0.0,0.0,0.0
老顾客了。还是一如既往的好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
多次购买，5分好评！,0.0,0.0,0.0,0.0,0.0,0.0,0.0
还没看，之前买过质量不错。2012年。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
宝贝已收到，包装完好无损，商品与描述相待，喜欢这家店铺购买，诚意守信，物美价廉，品质的确很好。评价满分,1.0,1.0,1.0,1.0,0.0,1.0,0.0
很香！很好不错的哦,0.0,1.0,0.0,0.0,0.0,0.0,0.0
茶叶我不懂，都是爸爸自己挑好了我给买，不得不说杯子包装很严密，泡沫那么厚不用担心快递会把杯子摔碎。,1.0,0.0,0.0,0.0,1.0,0.0,0.0
双十一价格非常优惠，和同事一起买的，还送了礼品，很满意,0.0,0.0,1.0,0.0,0.0,1.0,0.0
还没品尝，随后追平,0.0,0.0,0.0,0.0,0.0,0.0,1.0
茶叶不错的   包装很大气上档次,0.0,1.0,0.0,0.0,0.0,0.0,0.0
一般 由俭入奢易，由奢回俭难啊！,0.0,1.0,1.0,0.0,0.0,0.0,1.0
挺好的，淡雅幽香，解渴。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
味道很好喝，质量包装都不错，值得购买 卖家态度服务很好，我很满意,1.0,1.0,0.0,1.0,0.0,0.0,0.0
第二次关顾,0.0,0.0,0.0,0.0,0.0,0.0,0.0
不错，茶味很正！质量不错，物流快！,0.0,1.0,0.0,0.0,1.0,0.0,0.0
龙井最好的一点就是泡再久不苦。,0.0,1.0,0.0,0.0,0.0,1.0,0.0
好茶！,0.0,1.0,0.0,0.0,0.0,0.0,0.0
老公说一定要给个好评 能有些优惠就更好了,0.0,0.0,1.0,0.0,0.0,0.0,0.0
还不错哟，速度也很快 6666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0
茶叶真不错，很香，形状一般，性价比不错。以后就买这款了。,0.0,1.0,1.0,0.0,0.0,0.0,0.0
不错,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶收到了，质量是一如既往的好，已经买过2次了，口感好，正宗的西湖龙井送的杯子也相当的好！！！,0.0,1.0,0.0,0.0,0.0,1.0,0.0
包装盒很漂亮，送人很好！,1.0,0.0,0.0,0.0,0.0,0.0,0.0
一如既往！,0.0,0.0,0.0,0.0,0.0,0.0,0.0
闻着不错，不知道泡着怎么样，先收货。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶太碎 根本不值这价  差评,0.0,1.0,1.0,0.0,0.0,0.0,1.0
收到了，看着还可以，一直都喝这个的，好评,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶很好，包装的也很好，送的东西很有用呢，不错 服务到位,1.0,1.0,0.0,1.0,0.0,1.0,0.0
买了好多次，以前都有小礼物，这次啥都没送。新买的待评价！,1.0,0.0,0.0,0.0,0.0,0.0,1.0
很一般，码感觉碎的比较多一点的，这个价格而已。,0.0,1.0,1.0,0.0,0.0,0.0,1.0
传统包，实在的价格，能喝到龙井的味。耐泡，,0.0,1.0,1.0,0.0,0.0,1.0,0.0
东西不错，还送了一个茶杯。很好,0.0,0.0,0.0,1.0,0.0,0.0,0.0
茶叶挺好 快递也给力,0.0,1.0,0.0,0.0,1.0,0.0,0.0
第一次买，快递满意！等食用一 段时间再来追评哦！,0.0,0.0,0.0,0.0,1.0,0.0,0.0
还没喝呢 习惯给5分 等喝过了 再来评价,0.0,0.0,0.0,0.0,0.0,0.0,1.0
茶叶物美价廉，下次继续购买,0.0,1.0,1.0,0.0,0.0,0.0,0.0
都挺好，很像样，味道也不错,0.0,1.0,0.0,0.0,0.0,0.0,0.0
味道醇厚，我很喜欢，以后每年会来买的。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
一如既往的好！,0.0,0.0,0.0,0.0,0.0,0.0,0.0
是今年的新茶，口感很好，便宜实惠，还要在准备再买一些呢，物超所值,0.0,1.0,1.0,0.0,0.0,0.0,0.0
茶喝着不错！下次再来！五星好评！,0.0,1.0,0.0,0.0,0.0,0.0,0.0
物流快，还没喝，先好评吧！,0.0,0.0,0.0,0.0,1.0,0.0,0.0
口感一般。,0.0,1.0,0.0,0.0,0.0,0.0,1.0
送礼很好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
很好，超值,0.0,0.0,1.0,0.0,0.0,0.0,0.0
茶叶呈黄绿色，比较正常，味微苦，香气尚可，口感无异味，有龙井的味道，考虑网购的话呢基本也值这个价，再低一些更符合实际品质，总体来说是一款不错的口粮茶，你值得拥有！ 服务很好，解答比较仔细！,0.0,1.0,1.0,1.0,0.0,1.0,1.0
西湖龙井老茶树当家品种，口感非常好，品质优胜于其他茶树种，备受老茶们的喜爱，有口皆碑。传统纸包质朴大方，牛皮纸加锡箔袋的包装防潮防湿，无论自饮还是送礼都是很不错的呢。  店家服务非常热情，非常赞~ 西湖龙井老茶树当家品种，口感非常好，品质优胜于其他茶树种，备受老茶们的喜爱，有口皆碑。  店家服务非常热情，非常赞~,1.0,1.0,0.0,1.0,0.0,0.0,0.0
老顾客了，马上升级至尊VIP了，不用多说了吧，买了这么多次就是最好的证明了！一如既往的好！每次都会买一堆自己喝、送家人、送朋友。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
以后的茶叶就在这儿买了,0.0,0.0,0.0,0.0,0.0,0.0,0.0
